Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,attempted take ons,Succ,Match Report
17-08-2019,Sat,Bundesliga,Matchweek 1,Home,W 3–2,Leverkusen,Paderborn 07,Y,RW,90,1,0,0,0,2,1,0,0,80,0,0,2,0.5,0.5,0.2,8,1,52,63,82.5,12,49,13,8,4,Match Report
24-08-2019,Sat,Bundesliga,Matchweek 2,Away,W 3–1,Leverkusen,Düsseldorf,Y,CM,90,0,0,0,0,0,0,0,0,72,1,0,1,0,0,0,2,0,55,63,87.3,6,49,4,1,0,Match Report
31-08-2019,Sat,Bundesliga,Matchweek 3,Home,D 0–0,Leverkusen,Hoffenheim,Y,CM,90,0,0,0,0,3,1,0,0,59,0,0,2,0.2,0.2,0,5,0,41,48,85.4,3,36,7,4,3,Match Report
14-09-2019,Sat,Bundesliga,Matchweek 4,Away,L 0–4,Leverkusen,Dortmund,Y,"RW,AM,DM",90,0,0,0,0,1,1,1,0,61,2,0,0,0.1,0.1,0.5,5,0,45,52,86.5,5,40,2,4,1,Match Report
21-09-2019,Sat,Bundesliga,Matchweek 5,Home,W 2–0,Leverkusen,Union Berlin,Y,RW,90,0,0,0,0,3,1,0,0,63,1,0,3,0.4,0.4,0.3,6,0,37,42,88.1,1,34,4,5,2,Match Report
28-09-2019,Sat,Bundesliga,Matchweek 6,Away,W 3–0,Leverkusen,Augsburg,Y,RW,90,1,1,0,0,2,1,0,0,84,1,2,0,0.5,0.5,0.1,2,0,60,67,89.6,3,45,4,4,2,Match Report
05-10-2019,Sat,Bundesliga,Matchweek 7,Home,D 1–1,Leverkusen,RB Leipzig,Y,"RW,AM",90,0,0,0,0,0,0,0,0,73,0,0,2,0,0,0.7,3,0,41,54,75.9,5,46,5,9,1,Match Report
18-10-2019,Fri,Bundesliga,Matchweek 8,Away,L 0–3,Leverkusen,Eint Frankfurt,Y,AM,90,0,0,0,0,4,2,0,0,57,0,0,0,0.4,0.4,0.5,6,0,32,37,86.5,3,37,4,6,4,Match Report
02-11-2019,Sat,Bundesliga,Matchweek 10,Home,L 1–2,Leverkusen,Gladbach,Y,AM,90,0,0,0,0,0,0,0,0,70,1,0,1,0,0,0.2,7,0,46,55,83.6,8,59,3,4,2,Match Report
10-11-2019,Sun,Bundesliga,Matchweek 11,Away,W 2–0,Leverkusen,Wolfsburg,Y,AM,41,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,8,11,72.7,1,11,1,3,2,Match Report
07-12-2019,Sat,Bundesliga,Matchweek 14,Home,W 2–1,Leverkusen,Schalke 04,Y,AM,70,0,0,0,0,2,1,0,0,62,1,0,2,0.3,0.3,0.4,5,0,39,48,81.3,6,41,5,3,2,Match Report
14-12-2019,Sat,Bundesliga,Matchweek 15,Away,L 0–2,Leverkusen,Köln,Y,AM,90,0,0,0,0,2,1,1,0,62,0,0,2,0.1,0.1,0.1,2,0,43,48,89.6,5,39,2,4,1,Match Report
18-12-2019,Wed,Bundesliga,Matchweek 16,Home,L 0–1,Leverkusen,Hertha BSC,Y,CM,70,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,2,0,38,44,86.4,3,25,3,3,1,Match Report
21-12-2019,Sat,Bundesliga,Matchweek 17,Away,W 1–0,Leverkusen,Mainz 05,Y,RM,90,0,0,0,0,2,0,0,0,57,1,0,1,0.1,0.1,0.6,6,0,35,40,87.5,7,40,6,3,3,Match Report
19-01-2020,Sun,Bundesliga,Matchweek 18,Away,W 4–1,Leverkusen,Paderborn 07,Y,AM,90,1,1,0,0,3,2,1,0,70,2,0,0,0.5,0.5,0.4,4,1,48,55,87.3,3,56,3,8,4,Match Report
26-01-2020,Sun,Bundesliga,Matchweek 19,Home,W 3–0,Leverkusen,Düsseldorf,Y,AM,90,1,0,0,0,1,1,0,0,65,2,0,0,0.4,0.4,0.7,7,0,43,51,84.3,3,43,3,4,3,Match Report
01-02-2020,Sat,Bundesliga,Matchweek 20,Away,L 1–2,Leverkusen,Hoffenheim,Y,"AM,RW",90,0,0,0,0,4,2,0,0,55,1,0,0,0.3,0.3,0.1,8,0,36,44,81.8,6,37,8,4,3,Match Report
08-02-2020,Sat,Bundesliga,Matchweek 21,Home,W 4–3,Leverkusen,Dortmund,Y,AM,90,0,0,0,0,2,0,0,0,54,1,0,1,0.5,0.5,0,2,2,34,41,82.9,4,33,5,2,1,Match Report
15-02-2020,Sat,Bundesliga,Matchweek 22,Away,W 3–2,Leverkusen,Union Berlin,Y,RW,90,1,0,0,0,2,2,0,0,66,0,0,0,0.1,0.1,0.7,7,0,40,48,83.3,6,45,3,10,6,Match Report
23-02-2020,Sun,Bundesliga,Matchweek 23,Home,W 2–0,Leverkusen,Augsburg,Y*,"AM,RW",83,0,1,0,0,1,0,0,0,72,0,0,0,0.1,0.1,0.8,3,2,57,61,93.4,6,44,5,6,3,Match Report
01-03-2020,Sun,Bundesliga,Matchweek 24,Away,D 1–1,Leverkusen,RB Leipzig,Y*,"RW,FW",90,0,1,0,0,1,1,0,0,79,0,0,0,0,0,0.6,5,1,60,70,85.7,3,58,5,4,1,Match Report
07-03-2020,Sat,Bundesliga,Matchweek 25,Home,W 4–0,Leverkusen,Eint Frankfurt,Y,FW,61,1,1,0,0,1,1,0,0,43,0,0,0,0.4,0.4,0.4,2,1,34,36,94.4,3,25,2,3,2,Match Report
18-05-2020,Mon,Bundesliga,Matchweek 26,Away,W 4–1,Leverkusen,Werder Bremen,Y*,FW,84,2,0,0,0,5,2,0,0,56,0,0,1,0.9,0.9,0,3,1,35,44,79.5,4,34,3,1,0,Match Report
