Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,attempted take ons,Succ,Match Report
17-08-2019,Sat,Bundesliga,Matchweek 1,Home,W 5–1,Dortmund,Augsburg,Y,RW,90,1,1,0,0,1,1,0,0,119,0,1,1,0.2,0.2,0.1,5,3,91,104,87.5,4,86,13,10,4,Match Report
23-08-2019,Fri,Bundesliga,Matchweek 2,Away,W 3–1,Dortmund,Köln,Y,RW,90,1,1,0,0,3,1,0,0,71,2,0,0,0.1,0.1,0.8,4,1,52,62,83.9,5,51,6,4,2,Match Report
31-08-2019,Sat,Bundesliga,Matchweek 3,Away,L 1–3,Dortmund,Union Berlin,Y,"RW,LW",90,0,1,0,0,2,0,0,0,91,0,1,1,0.1,0.1,0.9,6,1,61,78,78.2,10,61,5,6,5,Match Report
14-09-2019,Sat,Bundesliga,Matchweek 4,Home,W 4–0,Dortmund,Leverkusen,Y,RW,90,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0.3,3,1,25,30,83.3,5,25,4,7,3,Match Report
22-09-2019,Sun,Bundesliga,Matchweek 5,Away,D 2–2,Dortmund,Eint Frankfurt,Y,"LW,RW",72,1,0,0,0,3,3,0,0,53,0,0,1,0.9,0.9,0,3,1,28,42,66.7,3,36,3,5,2,Match Report
28-09-2019,Sat,Bundesliga,Matchweek 6,Home,D 2–2,Dortmund,Werder Bremen,Y,RW,79,0,0,0,0,1,1,0,0,80,1,1,1,0,0,0.1,5,0,58,67,86.6,7,45,2,6,3,Match Report
05-10-2019,Sat,Bundesliga,Matchweek 7,Away,D 2–2,Dortmund,Freiburg,N,RW,28,0,1,0,0,0,0,0,0,30,1,0,1,0,0,0.1,1,1,17,22,77.3,2,22,1,2,0,Match Report
26-10-2019,Sat,Bundesliga,Matchweek 9,Away,D 0–0,Dortmund,Schalke 04,Y,RW,90,0,0,0,0,4,2,0,0,47,0,0,0,0.2,0.2,0,3,0,26,37,70.3,7,31,7,5,4,Match Report
09-11-2019,Sat,Bundesliga,Matchweek 11,Away,L 0–4,Dortmund,Bayern Munich,Y,RW,35,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,11,81.8,1,13,0,7,1,Match Report
22-11-2019,Fri,Bundesliga,Matchweek 12,Home,D 3–3,Dortmund,Paderborn 07,Y,"LM,RW",90,1,1,0,0,3,1,0,0,66,2,3,0,0.2,0.2,0.5,8,1,39,53,73.6,7,36,3,4,3,Match Report
